,Unnamed: 0,County,2017,2018,2019,2020,2021,2017 Crime per Capita (%),2018 Crime per Capita (%),2019 Crime per Capita (%),2020 Crime per Capita (%),2021 Crime per Capita (%)
0,0,Alameda County,74223.0,69248.0,76846.0,68433.0,72143.0,4.471739172345983,4.1550561743817935,4.605936663126374,4.11670896690956,4.376132809561822
1,1,Alpine County,45.0,41.0,45.0,33.0,42.0,4.032258064516129,3.7927844588344124,4.0431266846361185,2.949061662198391,3.4008097165991904
2,2,Amador County,769.0,721.0,795.0,745.0,858.0,1.994863679991699,1.8323210246766117,2.002872042929484,1.8586433151211237,2.0795462808114595
3,3,Butte County,8375.0,7120.0,6421.0,5546.0,5975.0,3.662002623524267,3.091216949594061,2.9356363669614036,2.6068890309479937,2.868335021530515
4,4,Calaveras County,998.0,1057.0,983.0,924.0,862.0,2.18581628630251,2.3105340240890113,2.1314425724755526,1.995335579165587,1.8649531598191298
5,5,Colusa County,421.0,426.0,410.0,396.0,374.0,1.952871323870489,1.991677965309271,1.909285647760082,1.8369050932368494,1.7064379248984807
6,6,Contra Costa County,33797.0,31644.0,32901.0,27854.0,26804.0,2.950097894333476,2.7496437384866708,2.8538021637928566,2.4171832274177687,2.307878420510189
7,7,Del Norte County,862.0,741.0,931.0,862.0,819.0,3.147938501990286,2.666138955852193,3.3365587929613305,3.0820938215102975,2.9145907473309607
8,8,El Dorado County,3233.0,3353.0,2886.0,2945.0,2872.0,1.7124575593374756,1.756186984417965,1.4948952899920749,1.5264999352079822,1.48638087992506
9,9,Fresno County,36623.0,33648.0,28206.0,31052.0,32696.0,3.71910561922809,3.3943375251438015,2.826685854645051,3.102352040826521,3.225790538693997
10,10,Glenn County,625.0,686.0,620.0,599.0,479.0,2.2420720332902855,2.458869493530234,2.179644928809984,2.117879998585723,1.6629057455302898
11,11,Humboldt County,4907.0,4595.0,4623.0,4172.0,4522.0,3.589349718381976,3.366251043940748,3.4032936049293654,3.0908969676315223,3.3174381923556604
12,12,Imperial County,5544.0,5028.0,4169.0,4094.0,3899.0,3.0587586206896553,2.776949332272923,2.3104761165823353,2.2710756821825404,2.167905655236835
13,13,Inyo County,645.0,519.0,487.0,451.0,463.0,3.619731747011617,2.9004135464401477,2.7066081253820933,2.4991687908677824,2.440695835529784
14,14,Kern County,34614.0,36272.0,36014.0,35114.0,36394.0,3.900977780182032,4.059005078232533,4.0064612447685946,3.895660123235725,3.965900707550511
15,15,Kings County,3720.0,3502.0,3250.0,3300.0,3024.0,2.4875954581321635,2.3158159250368664,2.1279799904404593,2.161213423100097,1.970764388078961
16,16,Lake County,2055.0,1696.0,1591.0,1553.0,1602.0,3.204328572319591,2.6337857564369354,2.4680824659106775,2.4085361125327625,2.329639647500218
17,17,Lassen County,878.0,795.0,694.0,575.0,463.0,2.8396778679776187,2.593124143779764,2.261028213983189,1.915644989339019,1.396302662927109
18,18,Los Angeles County,311167.0,299065.0,283319.0,272248.0,290682.0,3.083192096203417,2.97236017612823,2.829906742197702,2.7380744291035164,2.957227720838322
19,19,Madera County,4407.0,3892.0,3547.0,2736.0,3552.0,2.841777416671503,2.48892072160795,2.2633154029237414,1.7342689257801358,2.2282165485226777
20,20,Marin County,5496.0,5252.0,5977.0,5947.0,4187.0,2.114049427829599,2.019293247363423,2.3069648956906037,2.3110223369033003,1.60910970538727
21,21,Mariposa County,398.0,278.0,261.0,261.0,325.0,2.2793654429872285,1.6012902482575888,1.524799906525676,1.520979020979021,1.8953752843062925
22,22,Mendocino County,1780.0,1617.0,1635.0,1856.0,1723.0,2.0298779792450676,1.8469656992084433,1.8807803800671792,2.1566098465042236,1.887081758939817
23,23,Merced County,8837.0,8409.0,8507.0,7768.0,9224.0,3.262848133748343,3.0719715927564453,3.0698557272458267,2.7817168722157763,3.219984570325454
24,24,Modoc County,239.0,185.0,109.0,116.0,72.0,2.69629963898917,2.0984573502722323,1.2294157455447778,1.323747575031382,0.8313127814340145
25,25,Mono County,254.0,176.0,257.0,204.0,142.0,1.7721342356798995,1.2222222222222223,1.778546712802768,1.4036053392046237,1.0719408167887068
26,26,Monterey County,11903.0,10835.0,9239.0,9271.0,9256.0,2.743872218495492,2.500236524452013,2.131847339517283,2.151513323091347,2.1165037443548846
27,27,Napa County,2828.0,2748.0,2965.0,2859.0,2528.0,2.022629418243717,1.982397922377723,2.15357573468528,2.1027470304857867,1.8559985903808176
28,28,Nevada County,2055.0,1543.0,1433.0,1263.0,1137.0,2.0669677432333207,1.551190284703233,1.4380619781631343,1.2679959038612132,1.0986887241875791
29,29,Orange County,73593.0,69252.0,66246.0,68755.0,67325.0,2.318503893472255,2.1807676647313765,2.089218320255351,2.1710800329790705,2.1252859626322165
30,30,Placer County,7725.0,7050.0,6776.0,6510.0,6650.0,2.0046814827117307,1.7951035685640444,1.6985946986598748,1.6155850601811639,1.6129032258064515
31,31,Plumas County,456.0,474.0,445.0,455.0,451.0,2.441113490364026,2.5172596919808816,2.3357127860592066,2.3989033584647017,2.264624654782827
32,32,Riverside County,69363.0,67910.0,65773.0,60335.0,57548.0,2.874485403997749,2.7795275171587015,2.6676600817093337,2.423882808369637,2.34087687291912
33,33,Sacramento County,44315.0,42608.0,43267.0,40542.0,42798.0,2.900226703944544,2.7675619499204314,2.788433033009809,2.600269634787249,2.6935259839853587
34,34,San Benito County,745.0,818.0,624.0,759.0,869.0,1.2377471340754278,1.3319221688512577,0.9935831090871455,1.18491921005386,1.3032979888117342
35,35,San Bernardino County,62634.0,63110.0,60051.0,52799.0,52028.0,2.913416629183379,2.9141675828755367,2.7580755612854393,2.411812991421914,2.3706093287951484
36,36,San Diego County,68432.0,68236.0,66922.0,61509.0,66974.0,2.0618140480666125,2.0476023433577906,2.0093926993246276,1.8457718653701942,2.0381191021856204
37,37,San Francisco County,61966.0,56934.0,56381.0,44706.0,50611.0,7.061885805912674,6.472155657310191,6.415490665956629,5.158745727585547,6.20840749704674
38,38,San Joaquin County,28012.0,28332.0,27564.0,23597.0,23171.0,3.7686704713932455,3.764599582774153,3.619360506111709,3.0726580699431096,2.9352301085620907
39,39,San Luis Obispo County,6677.0,6359.0,5793.0,5478.0,6239.0,2.3637657404424495,2.2450132391879962,2.0489657904416965,1.940839471530457,2.20335571180856
40,40,San Mateo County,17162.0,16308.0,18179.0,17461.0,17077.0,2.232722485162452,2.122304498900327,2.3769302179626313,2.3026263734524757,2.3143078624398283
41,41,Santa Barbara County,10328.0,9185.0,8890.0,10736.0,11447.0,2.3209093074575615,2.0634096918476783,1.9956719285958011,2.413853576937086,2.5638613584187246
42,42,Santa Clara County,51215.0,51769.0,54220.0,50220.0,49256.0,2.6505355670665978,2.679575669583356,2.820416653878905,2.63331069867679,2.612346380922277
43,43,Santa Cruz County,10072.0,8603.0,8165.0,7200.0,6604.0,3.6643443144816548,3.1430732190286905,2.992267380071096,2.667407613225896,2.4660930871721334
44,44,Shasta County,6931.0,6347.0,3050.0,4421.0,407.0,3.863369062947665,3.5326661694477535,1.697792869269949,2.4694599138677407,0.22345571239547815
